date,price,price_diff,sigma_price,ewma_short,ewma_long,raw_forecast,scaled_forecast,capped_forecast,N_unrounded,position,forecast_scale,buffer_contracts,prev_pos,pnl_price,delta_pos,cost_usd,cost_pct,slip_cost,pnl,equity,drawdown,bundle,sample
2007-09-19,13815.5595703125,76.169921875,164.74154496258998,13393.568433868788,13435.314231937406,-0.2534017638240398,-1.3495028988813031,-1.3495028988813031,-0.12620005280268287,0,5.325546588611702,0.09351595532495625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9625.256226953124,0.040507778642642274,2,OOS
2007-09-20,13766.7001953125,-48.859375,157.72571672967504,13429.104792101522,13443.496601403458,-0.09124580062363917,-0.4859337622363651,-0.4859337622363651,-0.047672249215612625,0,5.325546588611702,0.0981044185862191,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,9625.256226953124,0.040507778642642274,2,OOS
2007-09-21,13820.1904296875,53.490234375,157.85398672308978,13466.351043300187,13452.79768358331,0.08586010400010703,0.45725198395561595,0.45725198395561595,0.044652885160429485,0,5.325546588611702,0.09765487461452724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9625.256226953124,0.040507778642642274,2,OOS
2007-09-24,13759.0595703125,-61.130859375,156.10260846180114,13494.228045872787,13460.359705477858,0.21696204008798908,1.1554414524488255,1.1554414524488255,0.11456080418818436,0,5.325546588611702,0.09914894774234204,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,9625.256226953124,0.040507778642642274,2,OOS
2007-09-25,13778.650390625,19.5908203125,138.9058812533822,13521.315888230141,13468.21873474075,0.382252738403024,2.0357047669897055,2.0357047669897055,0.2251877590399183,0,5.325546588611702,0.11061906554009514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9625.256226953124,0.040507778642642274,2,OOS
2007-09-26,13878.150390625,99.5,139.3984573185203,13555.30012655346,13478.340504021844,0.5520837462050707,2.940147711230383,2.940147711230383,0.32194872376851635,0,5.325546588611702,0.10950086709547953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9625.256226953124,0.040507778642642274,2,OOS
2007-09-27,13912.9404296875,34.7900390625,139.35771506202101,13589.361107804321,13489.07136638396,0.7196569014907271,3.8325663567048096,3.8325663567048096,0.4187633489187405,0,5.325546588611702,0.10926447449139219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9625.256226953124,0.040507778642642274,2,OOS
2007-09-28,13895.6298828125,-17.310546875,133.205954906036,13618.529562567006,13499.109848271084,0.8965043220489736,4.774375533963558,4.774375533963558,0.5465693997820129,0,5.325546588611702,0.11447976722691225,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,9625.256226953124,0.040507778642642274,2,OOS
2007-10-01,14087.5498046875,191.919921875,131.41286991988784,13663.198157054672,13513.639229910996,1.1380843233608013,6.060921085826572,6.060921085826572,0.6963635967943319,1,5.325546588611702,0.11489402137618554,0.0,0.0,1.0,3.0,0.0,2.8175099609375,-5.8175099609375,9619.438716992188,0.041087696249360796,2,OOS
2007-10-02,14047.3095703125,-40.240234375,131.80939588570692,13699.780196412561,13526.816275353009,1.312227553258274,6.98832896973688,6.98832896973688,0.8030870874643786,1,5.325546588611702,0.11491832896564627,1.0,-40.240234375,0.0,0.0,0.0,0.0,-40.240234375,9579.198482617188,0.04509903796931328,2,OOS
2007-10-03,13968.0498046875,-79.259765625,128.37161967492483,13725.329682914937,13537.710930398305,1.461528280096006,7.783436946224813,7.783436946224813,0.9274394481822864,1,5.325546588611702,0.11915551633422315,1.0,-79.259765625,0.0,0.0,0.0,0.0,-79.259765625,9499.938716992188,0.05300003580154118,2,OOS
